SKU#;Part#;Manufacturer name;MFG Part#;UPC;Weight(lb.);Avail;MSRP;M.A.P;Normal;Promotion;Short Description;Long Description;
14412507;MST-EP2-33229;MICROSOFT CORP;EP2-33229;196388546176        ;4.95;2064;$1,799.99;;$1,610.74;$1,520.74;MST Surface Laptop 7 13.8in Intel CU7/16/512 CM Win11 Black;Microsoft Surface Laptop 7 13.8in Intel  CU7/16/512 CM SC English Win11 Black United States 1 License;
14565596;MST-EP2-20901-5YR-ADP-SCR;MICROSOFT CORP;MST-EP2-20901-5YR-ADP-SCR;null;2.369;2100734;$3,120.55;;$2,072.66;$2,072.66;Pro 11 Ultra7/16GB/256SSD TAA 5YR ADP SCR bundle;Surface Pro 11 Ultra7/16GB/256SSD TAA Platinum with 5YR ADP ITG warranty and Smart Card Reader integration;
14412505;MST-EP2-33243;MICROSOFT CORP;EP2-33243;196388546312        ;5;74;$1,699.99;;$1,524.30;$1,439.30;MST Surface Laptop 7 13.8in Intel CU7/16/256 CM Win11 Platinum;Microsoft Surface Laptop 7 13.8in Intel  CU7/16/256 CM SC English Win11 Platinum United States 1 License;
14412504;MST-EP2-33225;MICROSOFT CORP;EP2-33225;196388546138        ;5;447;$1,699.99;;$1,524.30;$1,439.30;MST Surface Laptop 7 13.8in Intel CU7/16/256 CM Win11 Black;Microsoft Surface Laptop 7 13.8in Intel  CU7/16/256 CM SC English Win11 Black United States 1 License;
14565594;MST-EP2-20901-3YR-ADP-SCR;MICROSOFT CORP;MST-EP2-20901-3YR-ADP-SCR;null;2.369;2100734;$2,422.29;;$1,849.77;$1,849.77;Pro 11 Ultra7/16GB/256SSD TAA 3YR ADP SCR bundle;Surface Pro 11 Ultra7/16GB/256SSD TAA Platinum with 3YR ADP ITG warranty and Smart Card Reader integration;
14412511;MST-EP2-33227;MICROSOFT CORP;EP2-33227;196388546152        ;4.45;83;$1,999.99;;$1,793.29;$1,693.29;MST Surface Laptop 7 13.8in Intel CU7/32/256 CM Win11 Black;Microsoft Surface Laptop 7 13.8in Intel  CU7/32/256 CM SC English Win11 Black United States 1 License;
9746576;MST-XHM-00001-3YR-ADP-SCR;MICROSOFT CORP;XHM-00001-3YR-ADP-SCR;null;;2100734;;;$1,765.19;$1,765.19;Pro 10 Ultra7/16GB/256SSD TAA 3YR ADP SCR bundle;Pro 10 Ultra7/16GB/256SSD TAA 3YR ADP SCR bundle;
14565595;MST-EP2-20901-4YR-ADP-SCR;MICROSOFT CORP;MST-EP2-20901-4YR-ADP-SCR;null;2.369;2100734;$2,816.61;;$1,939.56;$1,939.56;Pro 11 Ultra7/16GB/256SSD TAA 4YR ADP SCR bundle;Surface Pro 11 Ultra7/16GB/256SSD TAA Platinum with 4YR ADP ITG warranty and Smart Card Reader integration;
9746577;MST-XHM-00001-4YR-ADP-SCR;MICROSOFT CORP;XHM-00001-4YR-ADP-SCR;null;;2100734;;;$1,854.98;$1,854.98;Pro 10 Ultra7/16GB/256SSD TAA 4YR ADP SCR bundle;Pro 10 Ultra7/16GB/256SSD TAA 4YR ADP SCR bundle;
14565592;MST-EP2-20901-4YR-SCR;MICROSOFT CORP;MST-EP2-20901-4YR-SCR;null;2.369;2100725;$2,716.61;;$1,836.70;$1,836.70;Pro 11 Ultra7/16GB/256SSD TAA 4YR SCR bundle;Surface Pro 11 Ultra7/16GB/256SSD TAA Platinum with 4YR ITG warranty and Smart Card reader integration;
14412509;MST-EP2-33223;MICROSOFT CORP;EP2-33223;196388546114        ;4.9;859;$2,399.99;;$2,151.95;$2,031.95;MST Surface Laptop 7 13.8in Intel CU7/32/1T CM Win11 Black;Microsoft Surface Laptop 7 13.8in Intel  CU7/32/1T CM SC English Win11 Black United States 1 License;
9746578;MST-XHM-00001-5YR-ADP-SCR;MICROSOFT CORP;XHM-00001-5YR-ADP-SCR;null;;2100734;;;$1,988.09;$1,988.09;Pro 10 Ultra7/16GB/256SSD TAA 5YR ADP SCR bundle;Pro 10 Ultra7/16GB/256SSD TAA 5YR ADP SCR bundle;
14565593;MST-EP2-20901-5YR-SCR;MICROSOFT CORP;MST-EP2-20901-5YR-SCR;null;2.369;2100725;$3,020.55;;$1,969.80;$1,969.80;Pro 11 Ultra7/16GB/256SSD TAA 5YR SCR bundle;Surface Pro 11 Ultra7/16GB/256SSD TAA Platinum with 5YR ITG warranty and Smart Card reader integration;
14565591;MST-EP2-20901-3YR-SCR;MICROSOFT CORP;MST-EP2-20901-3YR-SCR;null;2.369;2100725;$2,372.29;;$1,798.34;$1,798.34;Pro 11 Ultra7/16GB/256SSD TAA 3YR SCR bundle;Surface Pro 11 Ultra7/16GB/256SSD TAA Platinum with 3YR ITG warranty and Smart Card reader integration;
12107955;MST-NJ1-00001;MICROSOFT CORP;NJ1-00001;889842995695        ;0.1;3;$239.99;;$174.25;$174.25;SURFACE SLIM PEN 2 TIPS BLK;SURFACE SLIM PEN 2 TIPS BLK;
7291491;MST-T8I-00001;MICROSOFT CORP;T8I-00001;196388142200        ;2.3;838;$299.99;;$217.82;$217.82;Surface Thunderbolt 4 Dock CM SC EN/XD/XX US/Canada Commercial Black;Microsoft Surface Thunderbolt 4 Dock CM SC EN/XD/XX Black US/Canada 1 License - Power supply - 1-year Warranty;
14565586;MST-EP2-20899-5YR-ADP-SCR;MICROSOFT CORP;EP2-20899-5YR-ADP-SCR;null;2.369;2100734;$2,920.55;;$1,937.49;$1,937.49;Pro 11 Ultra5/16GB/512SSD TAA 5YR ADP SCR bundle;Surface Pro 11 Ultra5/16GB/512SSD TAA Platinum with 5YR ADP ITG warranty and Smart Card Reader integration;
14412503;MST-EP2-33248;MICROSOFT CORP;EP2-33248;196388546367        ;4.4;39;$1,999.99;;$1,834.52;$1,734.52;MST Surface Laptop 7 13.8in Intel CU5/32/512 CM Win11 Platinum;Microsoft Surface Laptop 7 13.8in Intel  CU5/32/512 CM SC English Win11 Platinum United States 1 License;
14565584;MST-EP2-20899-3YR-ADP-SCR;MICROSOFT CORP;EP2-20899-3YR-ADP-SCR;null;2.369;2100734;$2,222.29;;$1,714.59;$1,714.59;Pro 11 Ultra5/16GB/512SSD TAA 3YR ADP SCR bundle;Surface Pro 11 Ultra5/16GB/512SSD TAA Platinum with 3YR ADP ITG warranty and Smart Card Reader integration;
14565585;MST-EP2-20899-4YR-ADP-SCR;MICROSOFT CORP;EP2-20899-4YR-ADP-SCR;null;2.369;2100734;$2,616.61;;$1,804.38;$1,804.38;Pro 11 Ultra5/16GB/512SSD TAA 4YR ADP SCR bundle;Surface Pro 11 Ultra5/16GB/512SSD TAA Platinum with 4YR ADP ITG warranty and Smart Card Reader integration;
14565582;MST-EP2-20899-4YR-SCR;MICROSOFT CORP;EP2-20899-4YR-SCR;null;2.369;2100725;$2,516.61;;$1,701.52;$1,701.52;Pro 11 Ultra5/16GB/512SSD TAA 4YR SCR bundle;Surface Pro 11 Ultra5/16GB/512SSD TAA Platinum with 4YR ITG warranty and Smart Card reader integration;
14412491;MST-EP2-33226;MICROSOFT CORP;EP2-33226;196388546145        ;4.45;13;$1,799.99;;$1,651.06;$1,561.06;MST Surface Laptop 7 13.8in Intel CU5/32/256 CM Win11 Black;Microsoft Surface Laptop 7 13.8in Intel  CU5/32/256 CM SC English Win11 Black United States 1 License;
9188508;MST-XP7-00001;MICROSOFT CORP;XP7-00001;196388257881        ;3.25;152;$1,999.99;;$1,789.72;$1,649.72;Pro 10 I7/32/256 Platinum;Microsoft Surface Pro 10 Ultra7/32/256 CM SC English,Canadian French,Spanish Platinum US/Canada 1 License;
14565583;MST-EP2-20899-5YR-SCR;MICROSOFT CORP;EP2-20899-5YR-SCR;null;2.369;2100725;$2,820.55;;$1,834.63;$1,834.63;Pro 11 Ultra5/16GB/512SSD TAA 5YR SCR bundle;Surface Pro 11 Ultra5/16GB/512SSD TAA Platinum with 5YR ITG warranty and Smart Card reader integration;
9747589;MST-X47-00001-3YR-SCR;MICROSOFT CORP;X47-00001-3YR-SCR;null;3.73;2100641;;;$1,316.61;$1,316.61;Pro 10 Ultra5/8GB/256SSD TAA 3YR SCR bundle;Surface Pro 10 Ultra5/8GB/256SSD TAA Platinum with 3YR ITG warranty and Smart Card reader integration;
14412489;MST-EP2-33246;MICROSOFT CORP;EP2-33246;196388546343        ;4.4;319;$1,599.99;;$1,467.61;$1,387.61;MST Surface Laptop 7 13.8in Intel CU5/16/512 CM Win11 Platinum;Microsoft Surface Laptop 7 13.8in Intel  CU5/16/512 CM SC English Win11 Platinum United States 1 License;
9747590;MST-X47-00001-4YR-SCR;MICROSOFT CORP;X47-00001-4YR-SCR;null;3.73;2100641;;;$1,354.98;$1,354.98;Pro 10 Ultra5/8GB/256SSD TAA 4YR SCR bundle;Surface Pro 10 Ultra5/8GB/256SSD TAA Platinum with 4YR ITG warranty and Smart Card reader integration;
14565581;MST-EP2-20899-3YR-SCR;MICROSOFT CORP;EP2-20899-3YR-SCR;null;2.369;2100725;$2,172.29;;$1,663.16;$1,663.16;Pro 11 Ultra5/16GB/512SSD TAA 3YR SCR bundle;Surface Pro 11 Ultra5/16GB/512SSD TAA Platinum with 3YR ITG warranty and Smart Card reader integration;
14412488;MST-EP2-33228;MICROSOFT CORP;EP2-33228;196388546169        ;4.9;873;$1,599.99;;$1,467.61;$1,387.61;MST Surface Laptop 7 13.8in Intel CU5/16/512 CM Win11 Black;Microsoft Surface Laptop 7 13.8in Intel  CU5/16/512 CM SC English Win11 Black United States 1 License;
9747591;MST-X47-00001-5YR-SCR;MICROSOFT CORP;X47-00001-5YR-SCR;null;3.73;2100641;;;$1,488.08;$1,488.08;Pro 10 Ultra5/8GB/256SSD TAA 5YR SCR bundle;Surface Pro 10 Ultra5/8GB/256SSD TAA Platinum with 5YR ITG warranty and Smart Card reader integration;
9188505;MST-X66-00001;MICROSOFT CORP;X66-00001;196388257034        ;3.3;8;$1,799.99;;$1,647.77;$1,521.77;Pro 10 I5/32/256 Platinum;Microsoft Surface Pro 10 Ultra5/32/256 CM SC English,Canadian French,Spanish Platinum US/Canada 1 License;
14412493;MST-EP2-33230;MICROSOFT CORP;EP2-33230;196388546183        ;4.4;34;$1,999.99;;$1,834.52;$1,734.52;MST Surface Laptop 7 13.8in Intel CU5/32/512 CM Win11 Black;Microsoft Surface Laptop 7 13.8in Intel  CU5/32/512 CM SC English Win11 Black United States 1 License;
9746573;MST-XHM-00001-3YR-SCR;MICROSOFT CORP;XHM-00001-3YR-SCR;null;;2100725;;;$1,713.76;$1,713.76;Pro 10 Ultra7/16GB/256SSD TAA 3YR SCR bundle;Pro 10 Ultra7/16GB/256SSD TAA 3YR SCR bundle;
14565572;MST-EP2-20897-4YR-ADP-SCR;MICROSOFT CORP;EP2-20897-4YR-ADP-SCR;null;2.369;2100711;$2,516.61;;$1,717.75;$1,717.75;Pro 11 Ultra5/16GB/256SSD TAA 4YR ADP SCR bundle;Surface Pro 11 Ultra5/16GB/256SSD TAA Platinum with 4YR ADP ITG warranty and Smart Card Reader integration;
9746574;MST-XHM-00001-4YR-SCR;MICROSOFT CORP;XHM-00001-4YR-SCR;null;;2100725;;;$1,752.12;$1,752.12;Pro 10 Ultra7/16GB/256SSD TAA 4YR SCR bundle;Pro 10 Ultra7/16GB/256SSD TAA 4YR SCR bundle;
14565573;MST-EP2-20897-5YR-ADP-SCR;MICROSOFT CORP;EP2-20897-5YR-ADP-SCR;null;2.369;2100711;$2,820.55;;$1,850.85;$1,850.85;Pro 11 Ultra5/16GB/256SSD TAA 5YR ADP SCR bundle;Surface Pro 11 Ultra5/16GB/256SSD TAA Platinum with 5YR ADP ITG warranty and Smart Card Reader integration;
9746575;MST-XHM-00001-5YR-SCR;MICROSOFT CORP;XHM-00001-5YR-SCR;null;;2100725;;;$1,885.23;$1,885.23;Pro 10 Ultra7/16GB/256SSD TAA 5YR SCR bundle;Pro 10 Ultra7/16GB/256SSD TAA 5YR SCR bundle;
14565570;MST-EP2-20897-5YR-SCR;MICROSOFT CORP;EP2-20897-5YR-SCR;null;2.369;2100711;$2,720.55;;$1,747.99;$1,747.99;Pro 11 Ultra5/16GB/256SSD TAA 5YR SCR bundle;Surface Pro 11 Ultra5/16GB/256SSD TAA Platinum with 5YR ITG warranty and Smart Card reader integration;
14412487;MST-EP2-33242;MICROSOFT CORP;EP2-33242;196388546305        ;4.8;386;$1,499.99;;$1,375.89;$1,300.89;MST Surface Laptop 7 13.8in Intel CU5/16/256 CM Win11 Platinum;Microsoft Surface Laptop 7 13.8in Intel  CU5/16/256 CM SC English Win11 Platinum United States 1 License;
9747592;MST-X47-00001-3YR-ADP-SCR;MICROSOFT CORP;X47-00001-3YR-ADP-SCR;null;3.73;2100650;;;$1,368.04;$1,368.04;Pro 10 Ultra5/8GB/256SSD TAA 3YR ADP SCR bundle;Surface Pro 10 Ultra5/8GB/256SSD TAA Platinum with 3YR ADP ITG warranty and Smart Card Reader integration;
14565571;MST-EP2-20897-3YR-ADP-SCR;MICROSOFT CORP;EP2-20897-3YR-ADP-SCR;null;2.369;2100711;$2,122.29;;$1,627.95;$1,627.95;Pro 11 Ultra5/16GB/256SSD TAA 3YR ADP SCR bundle;Surface Pro 11 Ultra5/16GB/256SSD TAA Platinum with 3YR ADP ITG warranty and Smart Card Reader integration;
14412486;MST-EP2-33224;MICROSOFT CORP;EP2-33224;196388546121        ;4.894;2936;$1,499.99;;$1,373.14;$1,298.14;MST Surface Laptop 7 13.8in Intel CU5/16/256 CM Win11 Black;Microsoft Surface Laptop 7 13.8in Intel  CU5/16/256 CM SC English Win11 Black United States 1 License;
9747593;MST-X47-00001-4YR-ADP-SCR;MICROSOFT CORP;X47-00001-4YR-ADP-SCR;null;3.73;2100650;;;$1,457.84;$1,457.84;Pro 10 Ultra5/8GB/256SSD TAA 4YR ADP SCR bundle;Surface Pro 10 Ultra5/8GB/256SSD TAA Platinum with 4YR ADP ITG warranty and Smart Card Reader integration;
14565568;MST-EP2-20897-3YR-SCR;MICROSOFT CORP;EP2-20897-3YR-SCR;null;2.369;2100711;$2,072.29;;$1,576.52;$1,576.52;Pro 11 Ultra5/16GB/256SSD TAA 3YR SCR bundle;Surface Pro 11 Ultra5/16GB/256SSD TAA Platinum with 3YR ITG warranty and Smart Card reader integration;
9747594;MST-X47-00001-5YR-ADP-SCR;MICROSOFT CORP;X47-00001-5YR-ADP-SCR;null;3.73;2100650;;;$1,590.94;$1,590.94;Pro 10 Ultra5/8GB/256SSD TAA 5YR ADP SCR bundle;Surface Pro 10 Ultra5/8GB/256SSD TAA Platinum with 5YR ADP ITG warranty and Smart Card Reader integration;
14565569;MST-EP2-20897-4YR-SCR;MICROSOFT CORP;EP2-20897-4YR-SCR;null;2.369;2100711;$2,416.61;;$1,614.89;$1,614.89;Pro 11 Ultra5/16GB/256SSD TAA 4YR SCR bundle;Surface Pro 11 Ultra5/16GB/256SSD TAA Platinum with 4YR ITG warranty and Smart Card reader integration;
14412484;MST-EP2-19863;MICROSOFT CORP;EP2-19863;196388442874        ;1.45;1073;$199.99;;$145.13;$145.13;Surface USB4 Dock CM SC EN/XD/ES US/Can/M;Microsoft  Surface USB4 Dock CM SC English,Canadian French,Spanish Black US/Canada/Mexico 1 License;
9188524;MST-ZDR-00001;MICROSOFT CORP;ZDR-00001;196388255979        ;3.3;1993;$1,199.99;;$1,098.51;$1,014.51;Pro 10 I5/8/256  Platinum;Microsoft Surface Pro 10 Ultra5/8/256 CM SC English,Canadian French,Spanish Platinum US/Canada 1 License;
9747124;MST-X74-00001-5YR-ADP-SCR;MICROSOFT CORP;X74-00001-5YR-ADP-SCR;null;;2100730;;;$2,110.76;$2,110.76;Pro 10 Ultra5/32GB/256SSD TAA 5YR ADP SCR bundle;Surface Pro 10 Ultra5/32GB/256SSD TAA Platinum with 5YR ADP ITG warranty and Smart Card Reader integration;
14563580;SNO-EP2-19298;MICROSOFT CORPORATION;EP2-19298;196388439973        ;4.5;94;$1,189.00;;$1,131.92;$799.00;CPO LAPTOP-7 X-PLUS/16/1,0TB/13IN SAPPHIRE;MANUFACTURER RENEWED MICROSOFT SURFACE LAPTOP-7 RETAIL SNAPDRAGON X-PLUS/GPU QUALCOMM HEXAGON/NPU 16GB/LPDDR5X RAM 1,0TB/REMOVABLE-SSD WI-FI-7+BT WEBCAM QUALCOMM ADRENO/GPU 13.8IN PIXELSENSE/TOUCH W11H 2.96LBS 1YR SAPPHIRE;
9747120;MST-X74-00001-4YR-SCR;MICROSOFT CORP;X74-00001-4YR-SCR;null;;2100721;;;$1,874.80;$1,874.80;Pro 10 Ultra5/32GB/256SSD TAA 4YR SCR bundle;Surface Pro 10 Ultra5/32GB/256SSD TAA Platinum with 4YR ITG warranty and Smart Card reader integration;
9747121;MST-X74-00001-5YR-SCR;MICROSOFT CORP;X74-00001-5YR-SCR;null;;2100721;;;$2,007.90;$2,007.90;Pro 10 Ultra5/32GB/256SSD TAA 5YR SCR bundle;Pro 10 Ultra5/32GB/256SSD TAA 5YR SCR bundle;
